날짜,시도지역코드,발생건수(건)
20140220,경남,3363
20140220,제주,509
20140220,전국,47807
20140221,서울,8244
20140221,부산,3013
20140221,대구,2705
20140221,인천,3107
20140221,광주,1783
20140221,대전,1385
20140221,울산,1148
20140221,경기,11198
20140221,강원,1322
20140221,충북,1980
20140221,충남,2352
20140221,전북,2195
20140221,전남,2451
20140221,경북,2866
20140221,경남,3640
20140221,제주,509
20140221,전국,49915
20140222,서울,7119
20140222,부산,2425
20140222,대구,2491
20140222,인천,2684
20140222,광주,1678
20140222,대전,1232
20140222,울산,1032
20140222,경기,9409
20140222,강원,921
20140222,충북,1581
20140222,충남,1808
20140222,전북,1593
20140222,전남,2119
20140222,경북,2515
20140222,경남,2893
20140222,제주,384
20140222,전국,41894
20140223,서울,661
20140223,부산,172
20140223,대구,334
20140223,인천,341
20140223,광주,256
20140223,대전,167
20140223,울산,173
20140223,경기,1530
20140223,강원,92
20140223,충북,169
20140223,충남,245
20140223,전북,231
20140223,전남,402
20140223,경북,308
20140223,경남,187
20140223,제주,54
20140223,전국,5323
20140224,서울,10732
20140224,부산,4004
20140224,대구,3448
20140224,인천,4175
20140224,광주,2415
20140224,대전,1739
20140224,울산,1612
20140224,경기,14378
20140224,강원,1702
20140224,충북,2492
20140224,충남,3020
20140224,전북,2979
20140224,전남,3392
20140224,경북,4074
20140224,경남,4797
20140224,제주,719
20140224,전국,65692
20140225,서울,7188
20140225,부산,2758
20140225,대구,2436
20140225,인천,2794
20140225,광주,1806
20140225,대전,1266
20140225,울산,1045
20140225,경기,9596
20140225,강원,1240
20140225,충북,1729
20140225,충남,2143
20140225,전북,2043
20140225,전남,2482
20140225,경북,2719
20140225,경남,3231
20140225,제주,518
20140225,전국,45015
20140226,서울,7334
20140226,부산,2484
20140226,대구,2239
20140226,인천,2639
20140226,광주,1581
20140226,대전,1185
20140226,울산,981
20140226,경기,9596
20140226,강원,1225
20140226,충북,1619
20140226,충남,2027
20140226,전북,2025
20140226,전남,2299
20140226,경북,2519
20140226,경남,3091
20140226,제주,438
20140226,전국,43290
20140227,서울,7075
20140227,부산,3032
20140227,대구,2539
20140227,인천,2820
20140227,광주,1783
20140227,대전,1241
20140227,울산,1117
20140227,경기,9822
20140227,강원,1215
20140227,충북,1632
20140227,충남,2121
20140227,전북,2130
20140227,전남,2412
20140227,경북,2795
20140227,경남,3431
20140227,제주,513
20140227,전국,45683
20140228,서울,8089
20140228,부산,3134
20140228,대구,2597
20140228,인천,2910
20140228,광주,1727
20140228,대전,1376
20140228,울산,1205
20140228,경기,10871
20140228,강원,1378
20140228,충북,1805
20140228,충남,2337
20140228,전북,2246
20140228,전남,2436
20140228,경북,2849
20140228,경남,3533
20140228,제주,556
20140228,전국,49070
20140301,서울,1829
20140301,부산,1147
20140301,대구,1295
20140301,인천,883
20140301,광주,911
20140301,대전,466
20140301,울산,524
20140301,경기,3262
20140301,강원,399
20140301,충북,820
20140301,충남,905
20140301,전북,904
20140301,전남,1198
20140301,경북,1272
20140301,경남,1321
20140301,제주,205
20140301,전국,17348
20140302,서울,724
20140302,부산,211
20140302,대구,267
20140302,인천,333
20140302,광주,280
20140302,대전,142
20140302,울산,150
20140302,경기,1428
20140302,강원,104
20140302,충북,173
20140302,충남,238
20140302,전북,232
20140302,전남,368
20140302,경북,300
20140302,경남,182
20140302,제주,58
20140302,전국,5192
20140303,서울,10556
20140303,부산,3980
20140303,대구,3132
20140303,인천,3690
20140303,광주,2255
20140303,대전,1634
20140303,울산,1401
20140303,경기,13437
20140303,강원,1777
20140303,충북,2206
20140303,충남,3000
20140303,전북,2801
20140303,전남,3209
20140303,경북,3676
20140303,경남,4525
20140303,제주,665
20140303,전국,61967
20140304,서울,6266
20140304,부산,2680
20140304,대구,2103
20140304,인천,2260
20140304,광주,1446
20140304,대전,1065
20140304,울산,943
20140304,경기,8290
20140304,강원,1157
20140304,충북,1465
20140304,충남,1861
20140304,전북,1859
20140304,전남,2121
20140304,경북,2373
20140304,경남,2751
20140304,제주,425
20140304,전국,39082
20140305,서울,6601
20140305,부산,2575
20140305,대구,1958
20140305,인천,2083
20140305,광주,1360
20140305,대전,1005
20140305,울산,936
20140305,경기,8199
20140305,강원,1071
20140305,충북,1313
20140305,충남,1719
20140305,전북,1760
20140305,전남,2010
20140305,경북,2305
20140305,경남,2729
20140305,제주,423
20140305,전국,38061
20140306,서울,6236
20140306,부산,2567
20140306,대구,2004
20140306,인천,2296
20140306,광주,1576
20140306,대전,1016
20140306,울산,911
20140306,경기,8233
20140306,강원,1077
20140306,충북,1323
20140306,충남,1820
20140306,전북,1845
20140306,전남,2107
20140306,경북,2244
20140306,경남,2607
20140306,제주,396
20140306,전국,38271
20140307,서울,6945
20140307,부산,2691
20140307,대구,2149
20140307,인천,2401
20140307,광주,1475
20140307,대전,1094
20140307,울산,991
20140307,경기,8573
20140307,강원,1201
20140307,충북,1449
20140307,충남,1915
20140307,전북,2006
20140307,전남,2164
20140307,경북,2412
20140307,경남,2927
20140307,제주,435
20140307,전국,40844
20140308,서울,6553
20140308,부산,2529
20140308,대구,2170
20140308,인천,2305
20140308,광주,1541
20140308,대전,1161
20140308,울산,945
20140308,경기,8622
20140308,강원,974
