날짜,지점,발생건수(건)
20170217,경기,7046
20170218,경기,5497
20170219,경기,1124
20170220,경기,9184
20170221,경기,6580
20170222,경기,5848
20170223,경기,6667
20170224,경기,7221
20170225,경기,5529
20170226,경기,1065
20170227,경기,9266
20170228,경기,7191
20170301,경기,1793
20170302,경기,7927
20170303,경기,6738
20170304,경기,5611
20170305,경기,1062
20170306,경기,8503
20170307,경기,6302
20170308,경기,6154
20170309,경기,6256
20170310,경기,6835
20170311,경기,5869
20170312,경기,1240
20170313,경기,9523
20170314,경기,6722
20170315,경기,6745
20170316,경기,7074
20170317,경기,7791
20170318,경기,6842
20170319,경기,1363
20170320,경기,10767
20170321,경기,7732
20170322,경기,7714
20170323,경기,7802
20170324,경기,8638
20170325,경기,7350
20170326,경기,1572
20170327,경기,11569
20170328,경기,8103
20170329,경기,7784
20170330,경기,7699
20170331,경기,8189
20170401,경기,7872
20170402,경기,1468
20170403,경기,11297
20170404,경기,7905
20170405,경기,7186
20170406,경기,8025
20170407,경기,8449
20170408,경기,6784
20170409,경기,1382
20170410,경기,10961
20170411,경기,7653
20170412,경기,7619
20170413,경기,7761
20170414,경기,7994
20170415,경기,6866
20170416,경기,1337
20170417,경기,10287
20170418,경기,7142
20170419,경기,7271
20170420,경기,7431
20170421,경기,7984
20170422,경기,6489
20170423,경기,1350
20170424,경기,10970
20170425,경기,7963
20170426,경기,7700
20170427,경기,7900
20170428,경기,9102
20170429,경기,7124
20170430,경기,1239
20170501,경기,10258
20170502,경기,9872
20170503,경기,1768
20170504,경기,11136
20170505,경기,1423
20170506,경기,7012
20170507,경기,1432
20170508,경기,11701
20170509,경기,4793
20170510,경기,8042
20170511,경기,7104
20170512,경기,7093
20170513,경기,5808
20170514,경기,1081
20170515,경기,9121
20170516,경기,6444
20170517,경기,6470
20170518,경기,6305
20170519,경기,6945
20170520,경기,5680
20170521,경기,1161
20170522,경기,9310
20170523,경기,6392
20170524,경기,6314
20170525,경기,6352
20170526,경기,6951
20170527,경기,5530
20170528,경기,1169
20170529,경기,9095
20170530,경기,6352
20170531,경기,6070
20170601,경기,6314
20170602,경기,6646
20170603,경기,5369
20170604,경기,1099
20170605,경기,9069
20170606,경기,1575
20170607,경기,7425
20170608,경기,6112
20170609,경기,6455
20170610,경기,4824
20170611,경기,923
20170612,경기,8189
20170613,경기,5511
20170614,경기,5587
20170615,경기,5391
20170616,경기,5806
20170617,경기,4550
20170618,경기,923
20170619,경기,7638
20170620,경기,5290
20170621,경기,5097
20170622,경기,5205
20170623,경기,5507
20170624,경기,4431
20170625,경기,926
20170626,경기,7071
20170627,경기,4982
20170628,경기,5044
20170629,경기,4777
20170630,경기,5261
20170701,경기,4568
20170702,경기,887
20170703,경기,6686
20170704,경기,4879
20170705,경기,4592
