지점,날짜,O3
경기,20160605,0.034
경기,20160606,0.04
경기,20160607,0.026
경기,20160608,0.029
경기,20160609,0.033
경기,20160610,0.045
경기,20160611,0.037
경기,20160612,0.029
경기,20160613,0.044
경기,20160614,0.043
경기,20160615,0.033
경기,20160616,0.052
경기,20160617,0.061
경기,20160618,0.058
경기,20160619,0.04
경기,20160620,0.057
경기,20160621,0.055
경기,20160622,0.046
경기,20160623,0.048
경기,20160624,0.042
경기,20160625,0.051
경기,20160626,0.052
경기,20160627,0.037
경기,20160628,0.052
경기,20160629,0.045
경기,20160630,0.031
경기,20160701,0.02
경기,20160702,0.035
경기,20160703,0.042
경기,20160704,0.015
경기,20160705,0.011
경기,20160706,0.031
경기,20160707,0.024
경기,20160708,0.038
경기,20160709,0.027
경기,20160710,0.029
경기,20160711,0.006
경기,20160712,0.038
경기,20160713,0.016
경기,20160714,0.041
경기,20160715,0.033
경기,20160716,0.019
경기,20160717,0.022
경기,20160718,0.024
경기,20160719,0.042
경기,20160720,0.039
경기,20160721,0.04
경기,20160722,0.042
경기,20160723,0.034
경기,20160724,0.026
경기,20160725,0.024
경기,20160726,0.017
경기,20160727,0.018
경기,20160728,0.03
경기,20160729,0.028
경기,20160730,0.029
경기,20160731,0.018
경기,20160801,0.013
경기,20160802,0.011
경기,20160803,0.044
경기,20160804,0.042
경기,20160805,0.05
경기,20160806,0.048
경기,20160807,0.043
경기,20160808,0.032
경기,20160809,0.052
경기,20160810,0.049
경기,20160811,0.03
경기,20160812,0.029
경기,20160813,0.022
경기,20160814,0.022
경기,20160815,0.038
경기,20160816,0.053
경기,20160817,0.035
경기,20160818,0.041
경기,20160819,0.055
경기,20160820,0.046
경기,20160821,0.04
경기,20160822,0.034
경기,20160823,0.036
경기,20160824,0.035
경기,20160825,0.032
경기,20160826,0.026
경기,20160827,0.031
경기,20160828,0.025
경기,20160829,0.022
경기,20160830,0.02
경기,20160831,0.026
경기,20160901,0.044
경기,20160902,0.044
경기,20160903,0.039
경기,20160904,0.026
경기,20160905,0.022
경기,20160906,0.035
경기,20160907,0.04
경기,20160908,0.032
경기,20160909,0.028
경기,20160910,0.031
경기,20160911,0.04
경기,20160912,0.017
경기,20160913,0.028
경기,20160914,0.036
경기,20160915,0.032
경기,20160916,0.034
경기,20160917,0.034
경기,20160918,0.037
경기,20160919,0.028
경기,20160920,0.03
경기,20160921,0.025
경기,20160922,0.025
경기,20160923,0.026
경기,20160924,0.034
경기,20160925,0.031
경기,20160926,0.013
경기,20160927,0.005
경기,20160928,0.005
경기,20160929,0.012
경기,20160930,0.014
경기,20161001,0.008
경기,20161002,0.009
경기,20161003,0.019
경기,20161004,0.022
경기,20161005,0.023
경기,20161006,0.019
경기,20161007,0.016
경기,20161008,0.029
경기,20161009,0.024
경기,20161010,0.014
경기,20161011,0.013
경기,20161012,0.01
경기,20161013,0.007
경기,20161014,0.009
경기,20161015,0.015
경기,20161016,0.016
경기,20161017,0.016
경기,20161018,0.008
경기,20161019,0.023
경기,20161020,0.024
경기,20161021,0.025
경기,20161022,0.017
경기,20161023,0.022
경기,20161024,0.02
경기,20161025,0.014
경기,20161026,0.005
경기,20161027,0.008
경기,20161028,0.017
경기,20161029,0.017
경기,20161030,0.011
경기,20161031,0.007
경기,20161101,0.015
경기,20161102,0.01
경기,20161103,0.01
경기,20161104,0.024
경기,20161105,0.035
경기,20161106,0.03
경기,20161107,0.023
경기,20161108,0.022
경기,20161109,0.01
경기,20161110,0.006
경기,20161111,0.015
경기,20161112,0.017
경기,20161113,0.012
경기,20161114,0.007
경기,20161115,0.015
경기,20161116,0.003
경기,20161117,0.006
경기,20161118,0.005
경기,20161119,0.011
경기,20161120,0.016
경기,20161121,0.004
경기,20161122,0.014
경기,20161123,0.011
경기,20161124,0.014
경기,20161125,0.005
경기,20161126,0.002
경기,20161127,0.005
경기,20161128,0.011
경기,20161129,0.005
경기,20161130,0.004
경기,20161201,0.013
경기,20161202,0.007
경기,20161203,0.005
경기,20161204,0.003
경기,20161205,0.013
경기,20161206,0.011
경기,20161207,0.004
경기,20161208,0.007
경기,20161209,0.013
경기,20161210,0.006
경기,20161211,0.008
경기,20161212,0.003
경기,20161213,0.003
경기,20161214,0.004
경기,20161215,0.013
경기,20161216,0.01
경기,20161217,0.007
경기,20161218,0.008
경기,20161219,0.005
경기,20161220,0.005
경기,20161221,0.006
